
 syntran 0.0.63
 https://github.com/JeffIrwin/syntran

 Interpreting file "main.syntran"

Starting AOC syntran main 2017/17
x in [409, 616]
y in [3, 1863]
x, y = [91, 1]
x, y = [91, 2]
x, y = [91, 3]
x, y = [91, 4]
x, y = [91, 5]
x, y = [91, 6]
x, y = [91, 7]
x, y = [91, 8]
x, y = [91, 9]
x, y = [91, 10]
x, y = [91, 11]
x, y = [91, 12]
x, y = [91, 13]
x, y = [91, 14]
x, y = [91, 15]
x, y = [91, 16]
x, y = [91, 17]
x, y = [91, 16]
x, y = [91, 15]
x, y = [91, 14]
x, y = [91, 13]
x, y = [91, 12]
x, y = [91, 11]
x, y = [91, 10]
x, y = [91, 9]
x, y = [91, 8]
x, y = [91, 7]
x, y = [91, 6]
x, y = [91, 5]
x, y = [91, 4]
x, y = [93, 5]
x, y = [93, 6]
x, y = [93, 7]
x, y = [93, 8]
x, y = [93, 9]
x, y = [93, 10]
x, y = [93, 11]
x, y = [93, 12]
x, y = [93, 13]
x, y = [93, 14]
x, y = [93, 15]
x, y = [93, 16]
x, y = [93, 17]
x, y = [93, 18]
x, y = [93, 19]
x, y = [93, 20]
x, y = [93, 21]
x, y = [93, 22]
x, y = [93, 23]
x, y = [93, 24]
x, y = [93, 25]
x, y = [93, 26]
x, y = [93, 27]
x, y = [93, 28]
x, y = [93, 29]
x, y = [93, 30]
x, y = [93, 31]
x, y = [93, 32]
x, y = [93, 33]
x, y = [93, 34]
x, y = [93, 35]
x, y = [93, 36]
x, y = [93, 37]
x, y = [93, 38]
x, y = [93, 37]
x, y = [93, 36]
x, y = [93, 35]
x, y = [93, 34]
x, y = [93, 33]
x, y = [93, 32]
x, y = [93, 31]
x, y = [93, 30]
x, y = [93, 29]
x, y = [93, 28]
x, y = [93, 27]
x, y = [93, 26]
x, y = [93, 25]
x, y = [95, 26]
x, y = [95, 27]
x, y = [95, 28]
x, y = [95, 29]
x, y = [95, 30]
x, y = [95, 31]
x, y = [95, 32]
x, y = [95, 33]
x, y = [95, 34]
x, y = [95, 35]
x, y = [95, 36]
x, y = [95, 37]
x, y = [95, 38]
x, y = [95, 39]
x, y = [95, 40]
x, y = [95, 41]
x, y = [95, 42]
x, y = [95, 43]
x, y = [95, 44]
x, y = [95, 45]
x, y = [95, 46]
x, y = [95, 47]
x, y = [95, 48]
x, y = [95, 49]
x, y = [95, 50]
x, y = [95, 51]
x, y = [95, 52]
x, y = [95, 53]
x, y = [95, 54]
x, y = [95, 55]
x, y = [95, 56]
x, y = [95, 55]
x, y = [95, 54]
x, y = [95, 53]
x, y = [87, 54]
x, y = [87, 55]
x, y = [87, 56]
x, y = [87, 57]
x, y = [87, 58]
x, y = [87, 59]
x, y = [87, 60]
x, y = [87, 61]
x, y = [87, 62]
x, y = [87, 61]
x, y = [87, 60]
x, y = [87, 59]
x, y = [87, 58]
x, y = [87, 57]
x, y = [87, 56]
x, y = [87, 55]
x, y = [87, 54]
x, y = [87, 53]
x, y = [100, 54]
x, y = [100, 55]
x, y = [100, 56]
x, y = [100, 57]
x, y = [100, 56]
x, y = [100, 55]
x, y = [100, 54]
x, y = [100, 53]
x, y = [100, 52]
x, y = [100, 51]
x, y = [100, 50]
x, y = [100, 49]
x, y = [100, 48]
x, y = [81, 49]
x, y = [81, 50]
x, y = [81, 51]
x, y = [81, 52]
x, y = [81, 53]
x, y = [81, 54]
x, y = [81, 55]
x, y = [81, 56]
x, y = [81, 57]
x, y = [81, 58]
x, y = [81, 59]
x, y = [81, 60]
x, y = [81, 61]
x, y = [81, 62]
x, y = [81, 63]
x, y = [81, 64]
x, y = [81, 65]
x, y = [81, 66]
x, y = [81, 67]
x, y = [81, 68]
x, y = [81, 69]
x, y = [81, 70]
x, y = [81, 71]
x, y = [81, 72]
x, y = [81, 73]
x, y = [81, 74]
x, y = [81, 75]
x, y = [81, 76]
x, y = [81, 77]
x, y = [81, 78]
x, y = [81, 79]
x, y = [81, 80]
x, y = [81, 81]
x, y = [81, 82]
x, y = [81, 83]
x, y = [81, 84]
x, y = [81, 83]
x, y = [81, 82]
x, y = [81, 81]
x, y = [81, 80]
x, y = [81, 79]
x, y = [81, 78]
x, y = [81, 77]
x, y = [81, 76]
x, y = [81, 75]
x, y = [81, 74]
x, y = [94, 75]
x, y = [94, 76]
x, y = [94, 77]
x, y = [94, 78]
x, y = [94, 79]
x, y = [94, 80]
x, y = [94, 81]
x, y = [94, 82]
x, y = [94, 83]
x, y = [94, 84]
x, y = [94, 85]
x, y = [94, 86]
x, y = [94, 87]
x, y = [94, 88]
x, y = [94, 89]
x, y = [93, 90]
x, y = [93, 91]
x, y = [93, 92]
x, y = [93, 93]
x, y = [93, 94]
x, y = [93, 95]
x, y = [93, 96]
x, y = [93, 97]
x, y = [93, 98]
